t,d,p,c,a
Spider-Man by David Michelinie & Erik Larsen (Hardcover),2017,100,888,Jeph York
Deadpool & X-Force Omnibus (Hardcover),2017,100,872,others
Essential X-Men Vol. 6 (All-New Edition) (Trade Paperback),2011,19.99,656,others
X-Men: Legionquest (Hardcover),2018,75,592,others
X-Men: The Magneto War (Trade Paperback),2018,39.99,504,others
Champions Classic: The Complete Collection (Trade Paperback),2018,39.99,472,others
X-Men Epic Collection: Mutant Genesis (Trade Paperback),2017,34.99,472,others
X-Men Gold Vol. 0: Homecoming (Trade Paperback),2018,34.99,336,others
X-Men Visionaries: Jim Lee (Trade Paperback),2002,9.99,304,others
X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (Trade Paperback),2008,29.99,288,others
Origins of Marvel Comics (Trade Paperback),2011,24.99,272,others
X-Men: Prelude to Age of Apocalypse (Trade Paperback),2011,29.99,264,others
X-MEN: AGE OF X HC (Hardcover),2011,29.99,256,others
Young Avengers by Allan Heinberg & Jim Cheung: The Children's Crusade (Trade Paperback),2017,34.99,248,others
Marvel Masterworks: The Mighty Thor Vol. 2 (Trade Paperback),2011,24.99,232,others
Marvel Masterworks: The Mighty Thor Vol. 2 Variant (DM Only) (Trade Paperback),2011,24.99,232,others
X-Men: Curse of the Mutants  (Hardcover),2011,24.99,176,others
Amazing Spider-Man: Renew Your Vows Vol. 2 - The Venom Experiment (Trade Paperback),2017,19.99,160,others
X-Men Blue Vol. 1: Strangest (Trade Paperback),2017,15.99,144,Cullen Bunn
X-Men: Uncanny Origins (Trade Paperback),2018,17.99,136,Kieron Gillen
X-Men Blue Vol. 2: Toil and Trouble (Trade Paperback),2017,17.99,136,Cullen Bunn
X-Men: First Class - Class Portraits (Graphic Novel),2011,14.99,136,others
Uncanny X-Men: Superior Vol. 4 - IVX (Trade Paperback),2017,16.99,128,others
X-Men Legacy: Aftermath Premiere HC  (Hardcover),2011,19.99,128,Mike Carey
Wolverine: Wolverine Vs. The X-Men Premiere HC (Hardcover),2011,19.99,120,others
