,text,size
1103,intensity,0.18473928570834303
1036,host,0.18473928570834303
2305,vigilante,0.18473928570834303
371,chi,0.18473928570834303
907,glove,0.18473928570834303
2270,urban,0.18473928570834303
929,gritty,0.18473928570834303
708,entry,0.18473928570834303
1905,shang,0.18473928570834303
2237,underbelly,0.18473928570834303
1493,ohotmumk04,0.18473928570834303
659,edgy,0.18473928570834303
590,devil,0.18473928570834303
2244,unfold,0.18473928570834303
939,guardian,0.17257746367353988
139,assassin,0.17257746367353988
2005,stalk,0.17257746367353988
697,enigmatic,0.17257746367353988
1172,kid,0.1639485136164401
1878,seek,0.15725537996565647
1058,icon,0.15725537996565647
1534,panther,0.15725537996565647
1314,marvel,0.14818458319608963
233,bios,0.1471629814346644
1884,sell,0.1471629814346644
2291,vengeance,0.1471629814346644
2037,street,0.1431577415245372
222,best,0.13646460787375356
950,handbook,0.1336058034496351
572,depth,0.12859505898054907
385,city,0.1243027858389504
1335,mean,0.1243027858389504
30,action,0.1243027858389504
1074,include,0.1205485494336882
522,dark,0.1205485494336882
240,black,0.1205485494336882
1893,series,0.1205485494336882
1039,house,0.1188340974549309
420,come,0.09804332536302798
2249,universe,0.09341961521605545
1452,new,0.06800513297718
