,text,size
1341,men,0.5708258180613129
1278,magneto,0.3232933990977222
1417,mutant,0.24788154790430103
1446,new,0.20144739878983337
1308,marvel,0.19586133573846884
1286,man,0.15885366802317882
1492,one,0.13720767369914127
2376,world,0.11451429255297288
2102,team,0.11067387420515976
158,avenger,0.10857910056089806
408,collect,0.10822997162018777
2089,take,0.10194565068740268
507,cyclops,0.09042439564396333
998,hero,0.08379094577046796
805,first,0.08134704318549597
2237,universe,0.07855401165981371
1766,return,0.076459238015552
2222,uncanny,0.07296794860844918
758,face,0.07226969072702862
2153,time,0.07017491708276691
1605,power,0.06982578814205663
1983,spider,0.06912753026063606
2370,wolverine,0.06808014343850521
43,age,0.06598536979424352
820,force,0.06249408038714068
1590,plus,0.061446693565009834
417,come,0.061446693565009834
1536,past,0.061446693565009834
1530,part,0.0600501778021687
2025,story,0.0600501778021687
651,earth,0.05970104886145842
191,battle,0.05865366203932757
1797,rogue,0.057955404157907
1565,pgs,0.05760627521719672
1284,make,0.056908017335776155
786,feature,0.05655888839506587
168,back,0.056209759454355586
1178,know,0.05306759898796304
2003,star,0.05236934110654247
1691,rat,0.05236934110654247
918,great,0.05132195428441162
685,end,0.04922718064014992
2295,villain,0.048179793818019075
1123,issue,0.04783066487730879
2321,war,0.047481535936598505
800,find,0.04678327805517794
103,apocalypse,0.04573589123304709
1314,master,0.04573589123304709
863,future,0.04433937547020596
1864,secret,0.04433937547020596
890,get,0.04399024652949568
1505,original,0.043641117588785396
2397,year,0.04259373076665454
201,begin,0.041546343944523695
1416,must,0.04119721500381341
726,evil,0.040848086063103126
718,even,0.04049895712239285
2023,stop,0.04049895712239285
1143,join,0.04049895712239285
89,annual,0.04014982818168256
1815,run,0.04014982818168256
2061,super,0.04014982818168256
237,black,0.04014982818168256
1191,last,0.03980069924097228
1418,mutantkind,0.03910244135955171
199,become,0.03875331241884143
418,comic,0.03840418347813115
1619,present,0.0373567966560003
2393,xavier,0.0373567966560003
1869,see,0.037007667715290016
792,fight,0.037007667715290016
2091,tale,0.03665853877457973
770,fan,0.034912894071028315
720,event,0.034912894071028315
783,favorite,0.034912894071028315
1325,may,0.03456376513031803
2137,threat,0.03386550724889747
358,change,0.03386550724889747
528,day,0.03386550724889747
834,four,0.03386550724889747
1277,magnetism,0.033516378308187184
938,guest,0.0331672493674769
2032,strike,0.032818120426766614
2333,way,0.03246899148605633
1633,professor,0.03246899148605633
2380,would,0.03246899148605633
74,amaze,0.03211986254534605
126,artist,0.03142160466392548
722,every,0.03142160466392548
1034,house,0.03142160466392548
1252,lose,0.03142160466392548
1222,life,0.030374217841794632
2129,think,0.030374217841794632
387,classic,0.030374217841794632
2405,young,0.029675959960374067
1007,history,0.029675959960374067
1069,include,0.029675959960374067
1883,sentinel,0.029326831019663786
606,discover,0.029326831019663786
850,friend,0.02862857313824322
785,fear,0.02862857313824322
954,happen,0.02862857313824322
295,brotherhood,0.02862857313824322
689,enemy,0.02862857313824322
1887,series,0.02793031525682265
1377,mission,0.02793031525682265
1039,human,0.02793031525682265
721,ever,0.02793031525682265
1719,red,0.02758118631611237
1967,space,0.02758118631611237
1837,save,0.02758118631611237
2001,stand,0.02758118631611237
2215,two,0.027232057375402085
1044,hunt,0.026882928434691804
30,action,0.026882928434691804
1891,set,0.02653379949398152
2265,utopia,0.026184670553271235
314,call,0.026184670553271235
2205,true,0.026184670553271235
2218,ultimate,0.026184670553271235
1329,mean,0.026184670553271235
1784,right,0.025835541612560953
2366,witness,0.025835541612560953
761,factor,0.025835541612560953
449,continue,0.025835541612560953
815,foe,0.02548641267185067
1185,land,0.025137283731140388
204,behind,0.025137283731140388
724,everything,0.025137283731140388
1930,sinister,0.025137283731140388
1224,like,0.025137283731140388
1445,never,0.025137283731140388
2320,want,0.025137283731140388
91,another,0.025137283731140388
519,dark,0.024788154790430103
922,grey,0.024788154790430103
1358,mighty,0.024439025849719822
434,conclusion,0.024439025849719822
395,close,0.024439025849719822
1198,lead,0.024439025849719822
622,doom,0.024089896909009537
290,bring,0.024089896909009537
2362,witch,0.02339163902758897
896,girl,0.02339163902758897
382,city,0.02339163902758897
385,claremont,0.02339163902758897
1958,something,0.02339163902758897
309,cable,0.02339163902758897
2134,thor,0.02339163902758897
62,ally,0.02339163902758897
1202,learn,0.02339163902758897
1169,kill,0.023042510086878687
69,also,0.023042510086878687
808,five,0.022693381146168406
