,text,size
2126,surfer,0.49111495700551355
1960,silver,0.3721223462773054
885,galactus,0.1885852588207662
1531,one,0.16406556933737787
1346,marvel,0.16334440199963116
2452,world,0.16298381833075778
2308,universe,0.1518057245956837
1330,man,0.14819988790695013
644,earth,0.14062763086060961
1482,new,0.1305312881321556
457,cosmic,0.10997801900637418
776,fantastic,0.10492984764214716
2192,thor,0.10168459462228695
856,four,0.10132401095341359
386,collect,0.09916050894017343
1028,hero,0.09411233757594642
2185,thanos,0.08762183153622598
2062,star,0.08473716218523912
1611,pgs,0.08293424384087233
1798,return,0.08041015815875882
761,face,0.07932840715213875
2088,story,0.07788607247664532
1071,hulk,0.07752548880777196
942,great,0.07680432147002525
2092,strange,0.07536198679453181
1451,must,0.07175615010579824
1025,herald,0.07139556643692488
1871,save,0.07067439909917816
397,come,0.07067439909917816
1656,power,0.07031381543030481
208,battle,0.06887148075481136
1731,rat,0.06851089708593801
1377,men,0.06742914607931794
188,back,0.063462725721711
2036,spider,0.06310214205283764
1628,planet,0.06310214205283764
179,avenger,0.062020391046217566
2024,space,0.062020391046217566
1327,make,0.06129922370847085
2393,war,0.06057805637072414
399,comic,0.05949630536410406
2061,stand,0.05769338701973727
2161,team,0.0566116360131172
2117,super,0.05480871766875041
725,even,0.05444813399987705
2146,take,0.053005799324383616
821,first,0.0522846319866369
110,annual,0.0522846319866369
1349,master,0.051924048317763545
1246,last,0.05120288098001683
964,guest,0.050842297311143474
2212,time,0.05012112997339675
1637,plus,0.048678795297903324
814,find,0.048678795297903324
842,force,0.04723646062240989
2060,stan,0.04687587695353653
613,doctor,0.04615470961578982
1276,life,0.04615470961578982
1254,lead,0.04579412594691646
1579,part,0.04579412594691646
906,get,0.0454335422780431
1362,may,0.0454335422780431
1657,powerful,0.04471237494029639
1177,issue,0.04435179127142303
683,end,0.04327004026480295
1500,norrin,0.04254887292705624
926,god,0.041827705589309525
913,girl,0.04146712192043617
2085,stop,0.04038537091381609
217,become,0.039664203576069375
106,annihilation,0.039664203576069375
1481,never,0.03894303623832266
347,change,0.0385824525694493
703,entire,0.0385824525694493
67,alien,0.038221868900575946
221,begin,0.038221868900575946
2406,way,0.038221868900575946
794,feature,0.03786128523170258
1126,infinity,0.03677953422508251
792,fear,0.03677953422508251
805,fight,0.036418950556209154
617,doom,0.0360583668873358
1663,prepare,0.03497661588071572
697,enough,0.03497661588071572
2011,son,0.03461603221184236
1261,lee,0.034255448542969004
768,fall,0.034255448542969004
51,age,0.034255448542969004
727,ever,0.03389486487409565
1232,know,0.03317369753634893
1286,live,0.032813113867475575
1289,loki,0.03245253019860222
1898,see,0.032091946529728854
886,galaxy,0.032091946529728854
527,death,0.0317313628608555
242,big,0.03137077919198214
445,continue,0.031010195523108783
1005,heart,0.030649611854235426
1716,radd,0.030649611854235426
1524,old,0.030649611854235426
2148,tale,0.03028902818536207
153,asgard,0.02956786084761535
1190,join,0.02956786084761535
631,drax,0.02956786084761535
1398,mighty,0.02956786084761535
573,destroyer,0.029207277178741994
240,beyond,0.028846693509868637
2281,ultimate,0.028846693509868637
2199,three,0.028846693509868637
1895,secret,0.028846693509868637
364,city,0.02812552617212192
40,adventure,0.02776494250324856
349,chaos,0.02776494250324856
1056,hope,0.027404358834375205
521,day,0.027404358834375205
513,dark,0.027404358834375205
708,epic,0.027043775165501847
1464,namor,0.027043775165501847
1415,miss,0.027043775165501847
524,deadpool,0.027043775165501847
1397,might,0.026683191496628487
2276,two,0.026683191496628487
542,defender,0.026683191496628487
1369,meanwhile,0.02632260782775513
1020,help,0.025962024158881773
2187,thing,0.025962024158881773
1313,mad,0.025962024158881773
512,daredevil,0.025962024158881773
778,far,0.025601440490008415
2053,squirrel,0.02524085682113506
2476,year,0.02524085682113506
147,artifact,0.02524085682113506
462,could,0.02524085682113506
1427,monster,0.02524085682113506
1178,jack,0.02524085682113506
1294,look,0.02524085682113506
1542,original,0.02524085682113506
1562,page,0.02524085682113506
2067,start,0.024880273152261698
1303,love,0.02451968948338834
2395,warlock,0.02451968948338834
1977,skrull,0.02451968948338834
522,dead,0.024159105814514983
811,final,0.024159105814514983
731,everything,0.024159105814514983
1279,like,0.023437938476768266
224,behind,0.023437938476768266
1503,nova,0.023437938476768266
1224,kirby,0.023437938476768266
1326,major,0.023437938476768266
2460,wraith,0.023437938476768266
289,bring,0.02307735480789491
1381,mephisto,0.02307735480789491
1832,rocket,0.02271677113902155
1408,mind,0.02271677113902155
2122,supreme,0.02271677113902155
1665,present,0.022356187470148194
1520,odin,0.022356187470148194
145,arrive,0.022356187470148194
1260,leave,0.022356187470148194
867,friend,0.022356187470148194
813,finally,0.022356187470148194
784,fate,0.022356187470148194
1473,need,0.021995603801274834
1627,plan,0.021995603801274834
646,eater,0.021635020132401477
2080,steve,0.021635020132401477
270,book,0.021635020132401477
89,amaze,0.021635020132401477
1955,sif,0.021635020132401477
108,annihilus,0.021635020132401477
786,father,0.021635020132401477
520,dawn,0.021635020132401477
146,art,0.021635020132401477
525,deal,0.02127443646352812
1953,side,0.02127443646352812
1371,meet,0.020913852794654762
1000,head,0.020913852794654762
1297,lord,0.0205532691257814
1194,journey,0.0205532691257814
2223,together,0.0205532691257814
2271,turn,0.0205532691257814
2197,threat,0.0205532691257814
1586,past,0.0205532691257814
2417,well,0.0205532691257814
687,enemy,0.0205532691257814
595,dire,0.020192685456908045
351,character,0.019832101788034687
1847,run,0.019832101788034687
1356,material,0.019832101788034687
2362,villain,0.019832101788034687
1222,king,0.019832101788034687
332,catch,0.019832101788034687
66,alicia,0.019832101788034687
1914,sentinel,0.019832101788034687
316,captain,0.019832101788034687
585,devourer,0.019832101788034687
979,hand,0.01947151811916133
1945,shock,0.01947151811916133
2327,upon,0.01947151811916133
2019,soul,0.019110934450287973
1049,home,0.019110934450287973
849,former,0.018750350781414613
1416,mission,0.018750350781414613
2398,warrior,0.018750350781414613
34,action,0.018750350781414613
1709,quest,0.018750350781414613
81,also,0.018750350781414613
1374,member,0.018750350781414613
2098,strike,0.018750350781414613
986,happen,0.018750350781414613
1238,kree,0.018389767112541255
1299,lose,0.018389767112541255
2405,wave,0.0180291834436679
1870,savage,0.0180291834436679
1187,job,0.0180291834436679
962,guardian,0.0180291834436679
2188,think,0.0180291834436679
1927,set,0.0180291834436679
140,army,0.0180291834436679
308,cable,0.0180291834436679
164,atlantis,0.0180291834436679
908,giant,0.0180291834436679
2392,want,0.0180291834436679
1114,include,0.0180291834436679
1802,revelation,0.0180291834436679
2443,witness,0.0180291834436679
190,bad,0.01766859977479454
2446,wolverine,0.01766859977479454
1837,ronan,0.016947432437047823
2031,special,0.016947432437047823
1801,reveal,0.016947432437047823
2429,win,0.016947432437047823
2015,sorcerer,0.016947432437047823
1072,human,0.016947432437047823
835,foe,0.016947432437047823
111,another,0.016947432437047823
914,give,0.016947432437047823
2168,tell,0.016947432437047823
1823,rise,0.016947432437047823
2447,woman,0.016947432437047823
425,confront,0.016947432437047823
735,evolutionary,0.016947432437047823
943,green,0.01622626509930111
149,artist,0.01622626509930111
1943,shin,0.01622626509930111
1188,john,0.01622626509930111
303,buscema,0.01622626509930111
916,gladiator,0.01622626509930111
1172,iron,0.01622626509930111
538,deep,0.01622626509930111
1040,hit,0.01622626509930111
523,deadly,0.01622626509930111
729,every,0.01622626509930111
181,await,0.01622626509930111
560,denise,0.01622626509930111
2050,squad,0.01622626509930111
743,existence,0.01622626509930111
2383,wait,0.01622626509930111
168,attack,0.01586568143042775
1035,high,0.01586568143042775
1292,long,0.01586568143042775
471,cover,0.015505097761554391
310,call,0.015505097761554391
249,black,0.015505097761554391
1900,seek,0.015505097761554391
2306,unite,0.015144514092681034
2128,surprise,0.015144514092681034
2458,would,0.015144514092681034
1116,incredible,0.015144514092681034
32,across,0.015144514092681034
837,follow,0.015144514092681034
195,balance,0.015144514092681034
2205,thunder,0.015144514092681034
1935,shalla,0.014783930423807675
194,bal,0.014783930423807675
899,gauntlet,0.014783930423807675
2484,zenn,0.014783930423807675
75,ally,0.014783930423807675
1578,parker,0.014423346754934318
574,destruction,0.014423346754934318
107,annihilator,0.014423346754934318
791,favorite,0.014423346754934318
341,certain,0.014423346754934318
843,forever,0.014423346754934318
2222,toe,0.014423346754934318
2375,vol,0.014423346754934318
1452,mutant,0.014423346754934318
1974,skaar,0.014423346754934318
144,arrival,0.014423346754934318
2481,york,0.014423346754934318
1941,shi,0.014423346754934318
1811,richards,0.014423346754934318
774,fan,0.014423346754934318
109,anniversary,0.014423346754934318
1352,masterworks,0.014423346754934318
1920,series,0.014423346754934318
587,die,0.014423346754934318
540,defeat,0.01406276308606096
880,future,0.01406276308606096
125,appearance,0.01406276308606096
1462,name,0.01406276308606096
1354,match,0.01406276308606096
2402,watch,0.013702179417187602
1713,raccoon,0.013702179417187602
1110,impossible,0.013341595748314243
1704,put,0.013341595748314243
1990,small,0.013341595748314243
771,family,0.013341595748314243
1045,hold,0.013341595748314243
1217,kill,0.012981012079440886
36,adam,0.012981012079440886
1740,reality,0.012981012079440886
730,everyone,0.01262042841056753
609,dive,0.01262042841056753
1617,picture,0.01262042841056753
77,alone,0.01262042841056753
1378,menace,0.01262042841056753
1840,round,0.01262042841056753
1878,scene,0.01262042841056753
1131,inhumans,0.01262042841056753
1282,line,0.01262042841056753
2103,sub,0.01262042841056753
370,classic,0.01262042841056753
352,charge,0.01262042841056753
2310,unleash,0.01262042841056753
517,daughter,0.01262042841056753
806,figure,0.01262042841056753
2322,untold,0.01262042841056753
