,text,size
188,black,0.34406652292001544
1068,order,0.29037964490879004
62,always,0.2228322572204122
1381,simple,0.2228322572204122
502,empire,0.20127908874122652
181,big,0.16801185715385816
1601,unhinge,0.11996998474124648
290,close,0.11996998474124648
1452,stay,0.11996998474124648
501,emperor,0.11996998474124648
1043,obsidian,0.11996998474124648
310,complicate,0.11996998474124648
629,fun,0.11996998474124648
1433,spoil,0.11996998474124648
370,cull,0.11996998474124648
147,badder,0.11996998474124648
122,assassinate,0.11996998474124648
428,destabilize,0.11996998474124648
1435,spy,0.11996998474124648
1275,risk,0.11996998474124648
1220,rebellion,0.11996998474124648
453,dispatch,0.11996998474124648
1500,swan,0.11996998474124648
1503,table,0.11996998474124648
1085,painful,0.11996998474124648
1298,sabotage,0.11996998474124648
1600,ungainly,0.11996998474124648
1477,suddenly,0.11996998474124648
223,burgeon,0.11996998474124648
16,absolutely,0.11996998474124648
1371,show,0.1114161286102061
8,abandon,0.1114161286102061
678,grandmaster,0.1114161286102061
1514,teammate,0.1114161286102061
894,lot,0.1114161286102061
1408,someone,0.1114161286102061
1317,scourge,0.1114161286102061
1478,suffer,0.10534707110063707
277,choice,0.10534707110063707
1295,ruthless,0.10534707110063707
1597,unexpected,0.10534707110063707
969,mission,0.10063954437061326
565,family,0.10063954437061326
577,fear,0.10063954437061326
1587,turn,0.09679321496959668
1678,whole,0.09679321496959668
298,combine,0.09679321496959668
1659,warrior,0.09679321496959668
35,adventure,0.09354118979806779
1148,present,0.09072415746002767
233,call,0.08601663073000386
410,defeat,0.08217030132898728
146,bad,0.07891827615745839
1532,thing,0.07746277459896347
1036,nova,0.07482228224505222
1663,way,0.0736164451979469
865,leave,0.07247582120120169
506,end,0.07139371708939445
913,man,0.06668619035937064
654,get,0.06355506182238366
137,avenger,0.062148113576442864
1017,new,0.05841551170148174
293,collect,0.05841551170148174
1528,thanos,0.02779034325131656
