,text,size
1522,thanos,0.5789348748112562
920,marvel,0.24100456326984418
785,infinity,0.20432995581573746
1596,universe,0.20171034099758697
724,hero,0.1859926520886841
136,avenger,0.15717688908902883
332,cosmic,0.14931804463457737
1546,titan,0.13883958536197546
477,earth,0.130980740907524
1013,new,0.1178826668167716
1053,one,0.11526305199862114
897,mad,0.11002382236232017
1488,surfer,0.10216497790786873
291,collect,0.09430613345341729
297,come,0.09430613345341729
1500,take,0.08906690381711632
652,get,0.08906690381711632
909,man,0.08906690381711632
636,galaxy,0.08644728899896585
234,captain,0.08120805936266488
645,gauntlet,0.08120805936266488
1439,star,0.08120805936266488
1135,power,0.08120805936266488
590,find,0.07596882972636393
1373,silver,0.07596882972636393
397,death,0.07596882972636393
554,face,0.07596882972636393
1647,warlock,0.07334921490821344
1526,thor,0.07334921490821344
1542,time,0.07072960009006296
155,battle,0.07072960009006296
1645,war,0.06810998527191249
907,make,0.060251140817461045
504,end,0.060251140817461045
1411,space,0.060251140817461045
635,galactus,0.060251140817461045
605,force,0.05763152599931057
1655,way,0.05763152599931057
1103,pgs,0.055011911181160084
531,ever,0.055011911181160084
1249,return,0.055011911181160084
144,back,0.055011911181160084
1453,stop,0.052392296363009606
1320,see,0.052392296363009606
394,deadpool,0.052392296363009606
1692,world,0.052392296363009606
691,guardian,0.052392296363009606
1437,stand,0.04977268154485912
888,lord,0.04977268154485912
681,great,0.04977268154485912
862,leave,0.047153066726708645
1581,two,0.047153066726708645
1032,nova,0.047153066726708645
665,god,0.047153066726708645
582,fight,0.047153066726708645
1299,save,0.047153066726708645
535,evil,0.04453345190855816
1625,villain,0.04453345190855816
468,drax,0.04453345190855816
844,know,0.04453345190855816
1136,powerful,0.04453345190855816
529,even,0.041913837090407684
1443,starlin,0.041913837090407684
576,feature,0.041913837090407684
32,adam,0.041913837090407684
145,bad,0.041913837090407684
994,must,0.041913837090407684
1524,thing,0.041913837090407684
749,hulk,0.041913837090407684
871,life,0.041913837090407684
597,first,0.041913837090407684
1507,team,0.041913837090407684
858,lead,0.041913837090407684
931,may,0.03929422227225721
1121,plus,0.03929422227225721
1583,ultimate,0.03929422227225721
530,event,0.03929422227225721
819,jim,0.03667460745410672
1196,rat,0.03667460745410672
187,black,0.03667460745410672
1452,stone,0.03667460745410672
714,head,0.03667460745410672
1679,win,0.03667460745410672
954,mighty,0.03667460745410672
1479,super,0.03667460745410672
560,fall,0.03667460745410672
1458,strange,0.034054992635956245
1652,watch,0.034054992635956245
702,hand,0.03143537781780576
160,begin,0.03143537781780576
214,bring,0.03143537781780576
518,epic,0.03143537781780576
957,mind,0.03143537781780576
1115,planet,0.03143537781780576
67,america,0.03143537781780576
880,live,0.03143537781780576
430,destruction,0.03143537781780576
1421,spider,0.028815762999655284
1263,rider,0.028815762999655284
180,big,0.028815762999655284
456,doctor,0.028815762999655284
1491,survive,0.028815762999655284
1529,threat,0.028815762999655284
822,join,0.028815762999655284
78,annihilation,0.028815762999655284
1700,would,0.028815762999655284
386,dark,0.028815762999655284
809,iron,0.028815762999655284
408,defeat,0.028815762999655284
1101,peter,0.028815762999655284
124,assemble,0.026196148181504803
1295,saga,0.026196148181504803
1113,plan,0.026196148181504803
1644,want,0.026196148181504803
722,help,0.026196148181504803
933,mean,0.026196148181504803
891,love,0.026196148181504803
312,conclusion,0.026196148181504803
639,gamora,0.026196148181504803
924,master,0.026196148181504803
258,champion,0.026196148181504803
928,material,0.026196148181504803
82,annual,0.026196148181504803
84,answer,0.026196148181504803
1339,set,0.026196148181504803
735,hold,0.026196148181504803
700,half,0.026196148181504803
1088,past,0.023576533363354323
610,form,0.023576533363354323
934,meanwhile,0.023576533363354323
631,future,0.023576533363354323
1163,psr,0.023576533363354323
429,destroyer,0.023576533363354323
904,magus,0.023576533363354323
723,herald,0.023576533363354323
647,gem,0.023576533363354323
1336,series,0.023576533363354323
1064,origin,0.023576533363354323
1454,story,0.023576533363354323
534,everything,0.023576533363354323
395,deal,0.023576533363354323
1502,tale,0.023576533363354323
653,ghost,0.023576533363354323
1369,side,0.023576533363354323
1180,quest,0.023576533363354323
231,call,0.023576533363354323
