t,d,p,c,a
Infinity War Omnibus (Hardcover),2019,125,1352,others
Thor: Heroes Return (Hardcover),2017,125,1232,others
Avengers by Jonathan Hickman Omnibus Vol. 1 (Hardcover),2017,125,1192,others
Infinity By Starlin & Hickman (Hardcover),2019,125,848,Jim Starlin
Infinity Wars By Gerry Duggan: The Complete Collection (Hardcover),2019,50,592,others
AVENGERS: THE COMPLETE CELESTIAL MADONNA SAGA TPB (Trade Paperback),2017,39.99,504,others
Deadpool Classic Vol. 18: Deadpool Vs. Marvel (Trade Paperback),2017,39.99,488,others
SILVER SURFER EPIC COLLECTION: THE INFINITY GAUNTLET TPB (Trade Paperback),2017,34.99,488,Ron Marz
Silver Surfer Epic Collection: Thanos Quest (Trade Paperback),2018,39.99,480,Jim Starlin
Avengers by Brian Michael Bendis: The Complete Collection Vol. 3 (Trade Paperback),2017,39.99,464,others
GUARDIANS OF THE GALAXY: ROAD TO ANNIHILATION VOL. 2 TPB (Trade Paperback),2017,34.99,416,others
MARVEL MASTERWORKS: THE AVENGERS VOL. 17 HC (Hardcover),2017,75,352,others
Infinity Gauntlet Aftermath (Hardcover),2018,0,344,Ron Marz
Marvel's Avengers: Infinity War - The Art of the Movie (Hardcover),2018,0,336,others
Thor: Blood & Thunder (Trade Paperback),2011,34.99,336,Jim Starlin
Thanos By Donny Cates (Hardcover),2019,34.99,312,Donny Cates
Thanos: Death Sentence Prose Novel (Hardcover),2017,24.99,304,others
Infinity Gauntlet: Deluxe Edition (Hardcover),2019,34.99,304,Jim Starlin
Deadpool Classic Vol. 5 (Trade Paperback),2011,29.99,272,others
Infinity Gauntlet (Hardcover),2018,0,256,Jim Starlin
INFINITY CRUSADE VOL. 1 TPB (Trade Paperback),2016,29.99,248,Jim Starlin
Thanos Wins by Donny Cates (Trade Paperback),2018,19.99,168,others
Infinity Countdown: Companion (Trade Paperback),2018,17.99,136,others
Cosmic Ghost Rider: Baby Thanos Must Die (Trade Paperback),2019,15.99,136,Donny Cates
Thanos Vol. 1: Thanos Returns (Trade Paperback),2016,17.99,136,Jeff Lemire
Thanos Vol. 2: The God Quarry (Trade Paperback),2017,17.99,136,Jeff Lemire
Avengers & The Infinity Gauntlet (Trade Paperback),2018,15.99,136,others
Thanos Rising Marvel Select (Hardcover),2019,24.99,136,others
Marvel's Avengers: Infinity War Prelude (Trade Paperback),2018,15.99,136,Jim Starlin
Avengers vs. Thanos (Digest),2018,9.99,128,others
Marvel-Verse: Thanos (Trade Paperback),2019,9.99,120,others
Black Order: The Warmasters Of Thanos (Trade Paperback),2019,15.99,112,others
Marvel Universe Guardians of the Galaxy Vol. 5 (Digest),2017,9.99,88,others
Marvel Tales: Thanos (2019) #1,2019,7.99,80,others
Infinity (2013) #1,2013,4.99,64,others
Infinity (2013) #6,2013,5.99,64,others
Guardians of the Galaxy (2015) #19,2017,4.99,56,others
Thor (1998) #25,2000,0,52,others
Silver Surfer (1987) #50,1991,0,52,Jim Starlin
Warlock Chronicles (1993) #8,1994,0,52,Jim Starlin
True Believers: Infinity Gauntlet (2018) #1,2018,1,48,Jim Starlin
Infinity Countdown Prime (2018) #1,2018,4.99,48,others
Thor (1998) #23,2000,0,44,others
Thor (1998) #21,2000,0,44,others
The Thanos Imperative: Devastation (2010) #1,2011,3.99,40,Andy Lanning
The Thanos Imperative (2010) #1,2010,3.99,40,Andy Lanning
Thanos (2019) #1,2019,4.99,40,others
Thanos Legacy (2018) #1,2018,4.99,40,others
Avengers (2010) #12,2011,3.99,40,others
Shame Itself (2011) #1,2011,3.99,40,others
Infinity (2013) #3,2013,3.99,40,others
Infinity (2013) #4,2013,3.99,40,others
The Thanos Imperative: Ignition (2010) #1,2010,3.99,40,Andy Lanning
Infinity (2013) #5,2013,3.99,40,others
Infinity Wars Prime (2018) #1,2018,4.99,40,others
Thanos Annual (2018) #1,2018,4.99,40,others
Silver Surfer (1987) #56,1991,1,36,Ron Marz
Silver Surfer (1987) #49,1991,1,36,Jim Starlin
Silver Surfer (1987) #59,1991,1,36,Ron Marz
Marvel Two-in-One (1974) #61,1980,0.4,36,others
Marvel Two-in-One (1974) #62,1980,0.4,36,others
Silver Surfer (1987) #55,1991,1,36,Ron Marz
Silver Surfer (1987) #54,1991,1,36,Ron Marz
Marvel Comics Presents (1988) #108,1992,1.5,36,others
Silver Surfer (1987) #45,1991,1,36,Jim Starlin
Marvel Comics Presents (1988) #110,1992,1.5,36,Jim Starlin
Marvel Comics Presents (1988) #109,1992,1.5,36,others
Silver Surfer (1987) #52,1991,1,36,Ron Marz
Quasar (1989) #26,1991,1,36,others
Alpha Flight (1983) #111,1992,0,36,others
Marvel Comics Presents (1988) #111,1992,1.5,36,Jim Starlin
Thor (1998) #22,2000,0,36,others
Thor (1998) #24,2000,0,36,others
"Doctor Strange, Sorcerer Supreme (1988) #33",1991,1.5,36,others
Silver Surfer (1987) #57,1991,1,36,Ron Marz
Avengers (1963) #125,1974,0,36,others
Legendary Star-Lord (2014) #8,2015,3.99,32,others
Marvel's Avengers: Infinity War Prelude (2018) #1,2018,3.99,32,others
Thanos (2016) #8,2017,3.99,32,Jeff Lemire
Fantastic Four (1998) #578 (IRON MAN BY DESIGN VARIANT),2010,0,32,Andy Lanning
Guardians of the Galaxy (2008) #25,2010,2.99,32,Andy Lanning
Guardians of the Galaxy (2008) #24,2010,2.99,32,Andy Lanning
Thanos (2016) #9,2017,3.99,32,Jeff Lemire
Thanos (2016) #10,2017,3.99,32,Jeff Lemire
Guardians of the Galaxy: Telltale Games (2017) #3,2017,3.99,32,others
Thanos (2016) #11,2017,3.99,32,Jeff Lemire
Thanos (2016) #12,2017,3.99,32,Jeff Lemire
Guardians of the Galaxy: Telltale Games (2017) #5,2017,3.99,32,others
Thanos (2016) #13,2017,3.99,32,Donny Cates
