,text,size
1341,men,0.570076172229473
1278,magneto,0.32127548620994334
1417,mutant,0.2483587665061735
1446,new,0.20107337857706217
1308,marvel,0.19753802247021274
1286,man,0.15953294432158122
1492,one,0.13787888816712834
2376,world,0.1162248320126755
2102,team,0.11047987833904516
408,collect,0.10959603931233279
158,avenger,0.10915411979897661
2089,take,0.10164148807192154
507,cyclops,0.0910354197513732
998,hero,0.08219702948424959
805,first,0.08131319045753724
2237,universe,0.0795455124041125
1766,return,0.07689399532397542
2222,uncanny,0.07335863921712599
758,face,0.0729167197037698
2153,time,0.07026520262363271
1605,power,0.06938136359692036
1983,spider,0.06893944408356417
2370,wolverine,0.06761368554349563
43,age,0.06496216846335855
820,force,0.06275257089657765
417,come,0.061426812356509104
1536,past,0.061426812356509104
1590,plus,0.061426812356509104
1530,part,0.060542973329796745
2025,story,0.060542973329796745
651,earth,0.059659134303084387
1565,pgs,0.058333375763015845
1797,rogue,0.05789145624965966
191,battle,0.0570076172229473
786,feature,0.0570076172229473
168,back,0.05612377819623494
1284,make,0.05523993916952258
1178,know,0.053472261116097854
2003,star,0.05303034160274168
1691,rat,0.05303034160274168
918,great,0.051704583062673136
685,end,0.04905306598253605
1123,issue,0.04816922695582369
2295,villain,0.04772730744246751
2321,war,0.04728538792911133
800,find,0.046843468415755145
1314,master,0.0455177098756866
1864,secret,0.044633870848974244
863,future,0.044633870848974244
1505,original,0.04419195133561806
103,apocalypse,0.04419195133561806
890,get,0.04375003182226188
2397,year,0.04286619279554952
201,begin,0.04154043425548098
1416,must,0.04065659522876862
1815,run,0.04065659522876862
2061,super,0.04065659522876862
237,black,0.04065659522876862
89,annual,0.04065659522876862
1143,join,0.040214675715412436
2023,stop,0.040214675715412436
718,even,0.040214675715412436
1191,last,0.03977275620205625
726,evil,0.03977275620205625
1418,mutantkind,0.03933083668870008
418,comic,0.038888917175343894
199,become,0.03844699766198771
1619,present,0.03756315863527535
2091,tale,0.03712123912191917
792,fight,0.036679319608562994
1869,see,0.036679319608562994
2393,xavier,0.03623740009520681
720,event,0.03535356106849445
770,fan,0.03535356106849445
783,favorite,0.03535356106849445
1325,may,0.034469722041782086
2137,threat,0.03402780252842591
528,day,0.03402780252842591
358,change,0.03402780252842591
834,four,0.03402780252842591
938,guest,0.03358588301506973
2380,would,0.033143963501713544
2333,way,0.033143963501713544
1277,magnetism,0.033143963501713544
2032,strike,0.03270204398835737
74,amaze,0.032260124475001185
722,every,0.031818204961645
126,artist,0.031818204961645
1633,professor,0.031818204961645
1252,lose,0.031818204961645
1034,house,0.031818204961645
387,classic,0.030492446421576464
2129,think,0.030492446421576464
1222,life,0.030492446421576464
1007,history,0.03005052690822028
1069,include,0.03005052690822028
2405,young,0.03005052690822028
606,discover,0.029166687881507922
1883,sentinel,0.029166687881507922
954,happen,0.02872476836815174
850,friend,0.02872476836815174
785,fear,0.02872476836815174
1039,human,0.02828284885479556
721,ever,0.02828284885479556
1887,series,0.02828284885479556
1377,mission,0.02828284885479556
2001,stand,0.027399009828083198
295,brotherhood,0.027399009828083198
1967,space,0.027399009828083198
689,enemy,0.027399009828083198
1837,save,0.027399009828083198
1719,red,0.027399009828083198
1044,hunt,0.02695709031472702
30,action,0.02695709031472702
2265,utopia,0.02651517080137084
2218,ultimate,0.02651517080137084
2205,true,0.02651517080137084
1329,mean,0.02651517080137084
2215,two,0.02651517080137084
1891,set,0.026073251288014656
815,foe,0.026073251288014656
