,text,size
340,black,0.3324831703812707
1473,order,0.28060371620608404
1852,simple,0.21533038063421397
175,always,0.21533038063421397
732,empire,0.20360090771204392
330,big,0.18706914413738937
632,destabilize,0.11593107210443426
666,dispatch,0.11593107210443426
1910,spoil,0.11593107210443426
2137,ungainly,0.11593107210443426
2138,unhinge,0.11593107210443426
466,close,0.11593107210443426
564,cull,0.11593107210443426
731,emperor,0.11593107210443426
385,burgeon,0.11593107210443426
478,combine,0.11593107210443426
494,complicate,0.11593107210443426
116,absolutely,0.11593107210443426
105,abandon,0.11593107210443426
1653,rebellion,0.11593107210443426
1935,stay,0.11593107210443426
1912,spy,0.11593107210443426
1994,swan,0.11593107210443426
1719,risk,0.11593107210443426
1499,painful,0.11593107210443426
282,badder,0.11593107210443426
1440,obsidian,0.11593107210443426
1969,suffer,0.11593107210443426
1968,suddenly,0.11593107210443426
912,fun,0.11593107210443426
1748,sabotage,0.11593107210443426
1997,table,0.11593107210443426
250,assassinate,0.11593107210443426
2013,teammate,0.11593107210443426
2210,warrior,0.10766519031710699
1842,show,0.10766519031710699
1263,lot,0.10766519031710699
138,adventure,0.10766519031710699
396,call,0.10766519031710699
470,collect,0.10766519031710699
1770,scourge,0.10766519031710699
1884,someone,0.10766519031710699
1568,present,0.10766519031710699
974,grandmaster,0.10766519031710699
270,avenger,0.10180045385602196
452,choice,0.10180045385602196
1745,ruthless,0.10180045385602196
2134,unexpected,0.10180045385602196
833,fear,0.10180045385602196
820,family,0.09725141084372999
1353,mission,0.09725141084372999
1224,leave,0.09725141084372999
2118,turn,0.09725141084372999
2242,whole,0.09353457206869469
281,bad,0.09039202966144927
609,defeat,0.08526869028136742
2042,thing,0.08117778279339584
739,end,0.0723033133385673
2218,way,0.0723033133385673
1432,nova,0.0723033133385673
940,get,0.0711380720329551
1286,man,0.06444113133461338
1410,new,0.05700745378454279
2031,thanos,0.026854752830252668
